Cleaned_data
1Feb2024_data,,,,,,,,,,,,,,,,,,,,,,,,,,
Accession,Description,Classification,Genome Length (bp),Jumbophage,molGC (%),Molecule,Modification Date,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),Low Coding Capacity Warning,tRNAs,Host,Lowest Taxa,Genus,Sub-family,Family,Order,Class,Phylum,Kingdom,Realm,Baltimore Group,Genbank Division,Isolation Host (beware inconsistent and nonsense values)
NC_048874,Escherichia phage EC6098,Escherichia phage EC6098 Enterogokushovirus EC6098 Enterogokushovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4526,FALSE,48.387,DNA,11-JAN-2023,6,100,0,93.5262925320371,NA,0,Escherichia,Enterogokushovirus,Enterogokushovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia sp. MOD1-EC6098
NC_003438,Spiroplasma phage 4,Spiroplasma phage 4 Spiromicrovirus SpV4 Spiromicrovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4421,FALSE,32.052,ss-DNA,11-JAN-2023,6,100,0,78.2402171454422,NA,0,Spiroplasma,Spiromicrovirus,Spiromicrovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_002180,Chlamydia phage phiCPAR39,Chlamydia phage phiCPAR39 Chlamydiamicrovirus CPAR39 Chlamydiamicrovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4532,FALSE,40.622,DNA,11-JAN-2023,4,100,0,78.9717563989409,NA,0,Chlamydia,Chlamydiamicrovirus,Chlamydiamicrovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Chlamydophila pneumoniae AR39
NC_001422,Escherichia phage phiX174,Escherichia phage phiX174 Sinsheimervirus phiX174 Sinsheimervirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5386,FALSE,44.764,ss-DNA,11-JAN-2023,6,100,0,65.8373561084293,NA,0,Escherichia,Sinsheimervirus,Sinsheimervirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_049977,Bacteroides phage crAss001,Bacteroides phage crAss001 Kehishuvirus primarius Kehishuvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,102679,FALSE,34.743,DNA,10-JAN-2023,101,42.5742574257426,57.4257425742574,93.7124436350179,NA,24,Bacteroides,Kehishuvirus,Kehishuvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides intestinalis APC919/174
NC_021806,Cellulophaga phage phi14:2,Cellulophaga phage phi14:2 Akihdevirus balticus Akihdevirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,100418,FALSE,29.605,DNA,08-JAN-2023,118,59.3220338983051,40.6779661016949,94.2580015535063,NA,0,Cellulophaga,Akihdevirus,Akihdevirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Cellulophaga baltica #14
AE002163,Chlamydia phage phiCPAR39,Chlamydia phage phiCPAR39 Chlamydiamicrovirus CPAR39 Chlamydiamicrovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4532,FALSE,40.622,DNA,07-APR-2022,4,100,0,78.9717563989409,NA,0,Chlamydia,Chlamydiamicrovirus,Chlamydiamicrovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Chlamydia pneumoniae AR39
SPVDNA,Spiroplasma phage 4,Spiroplasma phage 4 Spiromicrovirus SpV4 Spiromicrovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4421,FALSE,32.052,ss-DNA,24-MAR-2022,6,100,0,78.2402171454422,NA,0,Spiroplasma,Spiromicrovirus,Spiromicrovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
PX1CG,Escherichia phage phiX174,Escherichia phage phiX174 Sinsheimervirus phiX174 Sinsheimervirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5386,FALSE,44.764,ss-DNA,28-OCT-2021,6,100,0,65.8373561084293,NA,0,Escherichia,Sinsheimervirus,Sinsheimervirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
MK629527,Escherichia phage Lilleven,Escherichia phage Lilleven Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6090,FALSE,44.450,DNA,01-FEB-2021,8,100,0,89.704433497537,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli MG1655 K12
MN917146,Bacteroides phage crAss002,Bacteroides phage crAss002 Jahgtovirus secundus Jahgtovirus Churivirinae Intestiviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,93030,FALSE,31.929,DNA,04-JAN-2021,81,41.9753086419753,58.0246913580247,93.10867462109,NA,0,Bacteroides,Jahgtovirus,Jahgtovirus,Churivirinae,Intestiviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MT947439,Protaetiibacter phage SSC1,Protaetiibacter phage SSC1 Sinsheimervirus phiX174 Sinsheimervirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5386,FALSE,44.709,DNA,29-SEP-2020,7,100,0,96.1381359079094,NA,0,Protaetiibacter,Sinsheimervirus,Sinsheimervirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
MT074138,Bacteroides phage DAC17,Bacteroides phage DAC17 Wulfhauvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,98900,FALSE,37.034,DNA,30-JUN-2020,111,36.036036036036,63.963963963964,94.0687563195147,NA,13,Bacteroides,Wulfhauvirus,Wulfhauvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides thetaiotaomicron VPI-5486
MT074136,Bacteroides phage DAC15,Bacteroides phage DAC15 Wulfhauvirus bangladeshii Wulfhauvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,99494,FALSE,37.042,DNA,30-JUN-2020,110,39.0909090909091,60.9090909090909,93.7061531348624,NA,13,Bacteroides,Wulfhauvirus,Wulfhauvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides thetaiotaomicron VPI-5484
MT185428,Escherichia phage EC6098,Escherichia phage EC6098 Enterogokushovirus EC6098 Enterogokushovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4526,FALSE,48.387,DNA,01-APR-2020,6,100,0,93.5262925320371,NA,0,Escherichia,Enterogokushovirus,Enterogokushovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia sp. MOD1-EC6098
MN266305,Shigella phage SGF3,Shigella phage SGF3 Sinsheimervirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5386,FALSE,44.838,DNA,09-OCT-2019,7,71.4285714285714,28.5714285714286,86.7805421463052,NA,0,Shigella,Sinsheimervirus,Sinsheimervirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Shigella flexneri
NC_007823,Escherichia phage NC28,Escherichia phage NC28 Alphatrevirus NC28 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6065,FALSE,44.831,DNA,28-JUN-2019,9,100,0,92.2506183017313,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_007827,Escherichia phage NC29,Escherichia phage NC29 Alphatrevirus NC29 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6259,FALSE,44.352,DNA,28-JUN-2019,10,100,0,91.2605847579486,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_007825,Escherichia phage ID52,Escherichia phage ID52 Gequatrovirus ID52 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5538,FALSE,45.865,DNA,28-JUN-2019,6,100,0,94.2578548212351,NA,0,Escherichia,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_007824,Escherichia phage ID62,Escherichia phage ID62 Alphatrevirus ID62 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6051,FALSE,44.935,DNA,28-JUN-2019,9,100,0,92.4640555280119,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_007822,Escherichia phage WA45,Escherichia phage WA45 Alphatrevirus WA45 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6068,FALSE,44.941,DNA,28-JUN-2019,9,100,0,92.2050098879367,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_007820,Escherichia phage NC35,Escherichia phage NC35 Alphatrevirus NC35 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6039,FALSE,44.726,DNA,28-JUN-2019,8,100,0,89.7168405365127,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_007819,Escherichia phage ID32,Escherichia phage ID32 Alphatrevirus ID32 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6071,FALSE,45.034,DNA,28-JUN-2019,8,100,0,90.6769889639269,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_007818,Escherichia phage ID21,Escherichia phage ID21 Alphatrevirus ID21 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6068,FALSE,45.270,DNA,28-JUN-2019,9,100,0,92.2050098879367,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_007461,Chlamydia phage 4,Chlamydia phage 4 Chlamydiamicrovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4530,FALSE,41.170,DNA,04-JUN-2019,5,100,0,85.5629139072848,NA,0,Chlamydia,Chlamydiamicrovirus,Chlamydiamicrovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Chlamydophila abortus
MH675552,Bacteroides phage crAss001,Bacteroides phage crAss001 Kehishuvirus primarius Kehishuvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,102679,FALSE,34.743,DNA,01-SEP-2018,101,42.5742574257426,57.4257425742574,93.7124436350179,NA,24,Bacteroides,Kehishuvirus,Kehishuvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides intestinalis APC919/174
NC_012868,Escherichia phage St-1,Escherichia phage St-1 Alphatrevirus St1 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6094,FALSE,45.208,ss-DNA,13-AUG-2018,8,100,0,89.6947817525435,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli strain K12
NC_007821,Enterobacteria phage WA13,Enterobacteria phage WA13 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6068,FALSE,44.825,ss-DNA,13-AUG-2018,9,100,0,92.2050098879367,NA,0,Enterobacteria,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli
NC_007817,Escherichia phage ID2 Moscow/ID/2001,Escherichia phage ID2 Moscow/ID/2001 Gequatrovirus talmos Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5486,FALSE,45.753,ss-DNA,13-AUG-2018,6,100,0,94.8778709442217,NA,0,Escherichia,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli
NC_007856,Enterobacteria phage ID18,Enterobacteria phage ID18 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5486,FALSE,45.224,ss-DNA,13-AUG-2018,6,100,0,95.3700328107911,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli
NC_002643,Bdellovibrio phage phiMH2K,Bdellovibrio phage phiMH2K Bdellomicrovirus MH2K Bdellomicrovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4594,FALSE,46.104,ss-DNA,13-AUG-2018,4,100,0,65.4331737048324,NA,0,Bdellovibrio,Bdellomicrovirus,Bdellomicrovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Bdellovibrio bacteriovorus
NC_002194,Chlamydia phage 2,Chlamydia phage 2 Chlamydiamicrovirus Chp2 Chlamydiamicrovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4563,FALSE,40.938,ss-DNA,13-AUG-2018,5,100,0,87.0479947403024,NA,0,Chlamydia,Chlamydiamicrovirus,Chlamydiamicrovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Chlamydia psittaci
NC_001998,Chlamydia phage CPG1,Chlamydia phage CPG1 Chlamydiamicrovirus CPG1 Chlamydiamicrovirus Gokushovirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,4529,FALSE,40.980,ss-DNA,13-AUG-2018,4,100,0,76.4407153897108,NA,0,Chlamydia,Chlamydiamicrovirus,Chlamydiamicrovirus,Gokushovirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Chlamydia psittaci
NC_001730,Escherichia phage phiK,Escherichia phage phiK Alphatrevirus phiK Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6089,FALSE,44.917,DNA,13-AUG-2018,9,100,0,93.217277056988,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Unspecified
NC_001330,Escherichia phage alpha3,Escherichia phage alpha3 Alphatrevirus alpha3 Alphatrevirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,6087,FALSE,45.178,ss-DNA,13-AUG-2018,10,100,0,92.6071956628881,NA,0,Escherichia,Alphatrevirus,Alphatrevirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli
MG563770,Escherichia phage EMCL318,Escherichia phage EMCL318 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5489,FALSE,45.145,DNA,26-DEC-2017,6,100,0,95.3179085443615,NA,0,Escherichia,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli 15-318 (MDR)
KY653237,Salmonella phage alphaalpha,Salmonella phage alphaalpha Sinsheimervirus phiX174 Sinsheimervirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5387,FALSE,44.663,DNA,18-MAR-2017,6,100,0,65.825134583256,NA,0,Salmonella,Sinsheimervirus,Sinsheimervirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Salmonella typhimurium ATCC 13311
JF719731,Escherichia phage G4,Escherichia phage G4 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.365,DNA,25-JUL-2016,6,100,0,80.1864801864802,NA,0,Escherichia,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli IJ1862
JF719730,Escherichia phage G4,Escherichia phage G4 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.204,DNA,25-JUL-2016,6,100,0,80.6347498655191,NA,0,Escherichia,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli IJ1862
JF719729,Escherichia phage G4,Escherichia phage G4 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.186,DNA,25-JUL-2016,6,100,0,80.7064730141653,NA,0,Escherichia,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli IJ1862
KX266637,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266636,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.939,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266635,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
